plan_id,plan_name,level,week,day_offset,day_name,session_type,planned_distance_km,planned_duration_min,notes
10k_beg,10K - Beginner,Beginner,1,0,Mon,Rest,,,
10k_beg,10K - Beginner,Beginner,1,1,Tue,Run - easy,3.0,22,Easy conversational pace
10k_beg,10K - Beginner,Beginner,1,2,Wed,Cross-training / rest,,30,Optional light cross-training
10k_beg,10K - Beginner,Beginner,1,3,Thu,Run - easy,3.0,22,Easy conversational pace
10k_beg,10K - Beginner,Beginner,1,4,Fri,Rest,,,
10k_beg,10K - Beginner,Beginner,1,5,Sat,Run - easy,2.0,15,Short easy run
10k_beg,10K - Beginner,Beginner,1,6,Sun,Long run,3.0,22,"Weekend long run - go slow, this builds endurance"
10k_beg,10K - Beginner,Beginner,2,0,Mon,Rest,,,
10k_beg,10K - Beginner,Beginner,2,1,Tue,Run - easy,3.1,23,Easy conversational pace
10k_beg,10K - Beginner,Beginner,2,2,Wed,Cross-training / rest,,30,Optional light cross-training
10k_beg,10K - Beginner,Beginner,2,3,Thu,Run - easy,3.1,23,Easy conversational pace
10k_beg,10K - Beginner,Beginner,2,4,Fri,Rest,,,
10k_beg,10K - Beginner,Beginner,2,5,Sat,Run - easy,2.1,16,Short easy run
10k_beg,10K - Beginner,Beginner,2,6,Sun,Long run,3.9,29,"Weekend long run - go slow, this builds endurance"
10k_beg,10K - Beginner,Beginner,3,0,Mon,Rest,,,
10k_beg,10K - Beginner,Beginner,3,1,Tue,Run - easy,3.1,23,Easy conversational pace
10k_beg,10K - Beginner,Beginner,3,2,Wed,Cross-training / rest,,30,Optional light cross-training
10k_beg,10K - Beginner,Beginner,3,3,Thu,Run - easy,3.1,23,Easy conversational pace
10k_beg,10K - Beginner,Beginner,3,4,Fri,Rest,,,
10k_beg,10K - Beginner,Beginner,3,5,Sat,Run - easy,2.1,16,Short easy run
10k_beg,10K - Beginner,Beginner,3,6,Sun,Long run,4.8,36,"Weekend long run - go slow, this builds endurance"
10k_beg,10K - Beginner,Beginner,4,0,Mon,Rest,,,
10k_beg,10K - Beginner,Beginner,4,1,Tue,Run - easy,3.2,24,Easy conversational pace
10k_beg,10K - Beginner,Beginner,4,2,Wed,Cross-training / rest,,30,Optional light cross-training
10k_beg,10K - Beginner,Beginner,4,3,Thu,Run - easy,3.2,24,Easy conversational pace
10k_beg,10K - Beginner,Beginner,4,4,Fri,Rest,,,
10k_beg,10K - Beginner,Beginner,4,5,Sat,Run - easy,2.2,16,Short easy run
10k_beg,10K - Beginner,Beginner,4,6,Sun,Long run,3.6,27,"Weekend long run - go slow, this builds endurance"
10k_beg,10K - Beginner,Beginner,5,0,Mon,Rest,,,
10k_beg,10K - Beginner,Beginner,5,1,Tue,Run - easy,3.2,24,Easy conversational pace
10k_beg,10K - Beginner,Beginner,5,2,Wed,Cross-training / rest,,30,Optional light cross-training
10k_beg,10K - Beginner,Beginner,5,3,Thu,Run - easy,3.2,24,Easy conversational pace
10k_beg,10K - Beginner,Beginner,5,4,Fri,Rest,,,
10k_beg,10K - Beginner,Beginner,5,5,Sat,Run - easy,2.2,16,Short easy run
10k_beg,10K - Beginner,Beginner,5,6,Sun,Long run,6.6,50,"Weekend long run - go slow, this builds endurance"
10k_beg,10K - Beginner,Beginner,6,0,Mon,Rest,,,
10k_beg,10K - Beginner,Beginner,6,1,Tue,Run - easy,3.3,25,Easy conversational pace
10k_beg,10K - Beginner,Beginner,6,2,Wed,Cross-training / rest,,30,Optional light cross-training
10k_beg,10K - Beginner,Beginner,6,3,Thu,Run - easy,3.3,25,Easy conversational pace
